32,2018,12,29,05,10,老iG五人全部退役,11587,59921000,1730
33,2018,12,29,05,10,将夜第二季换人了,11385,21631000,1132
34,2018,12,29,05,10,胖了只能穿卫衣 ,11238,160000000,27000
35,2018,12,29,05,10,异地恋会甜吗,10954,58645000,13000
36,2018,12,29,05,10,曼娘上线,10899,32011000,2138
37,2018,12,29,05,10,2018全球最帅100面孔 ,10767,110000000,42000
38,2018,12,29,05,10,霍尊 北京一夜,10767,7024000,7283
39,2018,12,29,05,10,金敏喜,10670,-1,-1
40,2018,12,29,05,10,发语音会很烦吗,10478,96306000,28000
41,2018,12,29,05,10,吉林爆炸,9972,69763000,2120
42,2018,12,29,05,10,2018你得到甜甜的恋爱了吗 ,9954,84069000,19000
43,2018,12,29,05,10,不发朋友圈被辞退 ,9796,170000000,22000
44,2018,12,29,05,10,got7翻跟头,9744,27966000,8441
45,2018,12,29,05,10,微博之夜投票,9609,150000000,314000
46,2018,12,29,05,10,李大辉追星成功,9555,33391000,7286
47,2018,12,29,05,10,权健投票现场翻车,9161,64348000,38000
48,2018,12,29,05,10,2018全球最美100面孔,9044,82729000,20000
49,2018,12,29,05,10,EXO NCT,8683,10155000,3919
50,2018,12,29,05,10,武汉593公交已致1死7伤,7488,75580000,3007
1,2018,12,29,05,20,刘德华现场中止演唱会 ,90186,220000000,45000
2,2018,12,29,05,20,皇后的品格 全程高能,51928,42968000,4543
3,2018,12,29,05,20,办完婚礼就捐份子钱,40459,23829000,1312
4,2018,12,29,05,20,有些人别p的太过分 ,40276,120000000,15000
5,2018,12,29,05,20,原生之罪 真香,38576,24907000,2944
6,2018,12,29,05,20,讨厌的网络用语,37070,44490000,9139
7,2018,12,29,05,20,周子瑜太撩了,35249,130000000,14000
8,2018,12,29,05,20,刘德华哭着道歉,32877,47517000,5795
9,2018,12,29,05,20,手机触摸屏让孩子更聪明,32060,76204000,4896
10,2018,12,29,05,20,权健患癌女童主治医生,31885,72711000,5145
11,2018,12,29,05,20,宋运辉求婚,31768,79896000,6486
12,2018,12,29,05,20,十年后见到初恋,26113,77116000,18000
13,2018,12,29,05,20,鞠婧祎 红衣 ,21853,67716000,14000
14,2018,12,29,05,20,藤田淑子去世 ,21851,30095000,3292
15,2018,12,29,05,20,你找不到男朋友的原因 ,18578,82892000,35000
16,2018,12,29,05,20,郭艾伦被隔扣,16988,34027000,663
17,2018,12,29,05,20,吴谨言 四川话,16951,6536000,880
18,2018,12,29,05,20,杨幂西装,16882,150000000,20000
19,2018,12,29,05,20,胖子也可以拥有尖下巴,16829,45262000,5881
20,2018,12,29,05,20,美国猴子实验 新型艾滋病疫苗,16775,5423000,887
21,2018,12,29,05,20,恋爱4个月胖50斤 ,16751,150000000,26000
22,2018,12,29,05,20,来电狂响,16671,9682000,23000
23,2018,12,29,05,20,广东人对冬天的尊重,16665,120000000,13000
24,2018,12,29,05,20,沈月胖了,16241,260000000,44000
25,2018,12,29,05,20,知否,15128,980000000,237000
26,2018,12,29,05,20,东京站无差别杀人嫌疑人被捕,14939,100000000,2185
27,2018,12,29,05,20,朱珠每年都上榜,14914,9172000,3923
